RepID,RepIDurl,ExpID,ExpName,Purpose,Conclusion,Comments,Keywords,ManuscriptUrl,Manuscripts,Design,Design_FCS_Count,MifScore,PResearcher,PInvestigator,UploadAuth,ExpDates,ExpStart,ExpEnd,UploadDate,LastUpdate,Organizations,Funding,QualControl,QualControlUrl,hasWSP,Attachments,Event_total_K,Event_mean_K,FCS_count,FCS_total_MB,FCS_mean_MB,FCSVers,Cytometer
FR-FCM-Z2EJ,FR-FCM-Z2EJ,2515,High Crossreactivity of Human T Cell Responses Between Lassa Virus Lineages,To determine T cell responses from Lassa fever survivors,None,,[Intracellular Cytokine Staining][T cells][Lassa fever],,,,,34,Brian Sullivan,Brian Sullivan,Brian Sullivan,2016-05-12 -,2016-05-12,,2020-01-01,2020-02-01,None,NIAID contract grant HHSN272201400048C under BAA-NIAID-DAIT-NIHAI2013167,None,,WSP,"050616-N9_N15.wsp, 050616-N9_N15.wsp-(1), 16-Jun-2017.wsp, 02-Jun-2017.wsp, 02-Jun-2017.wsp-(1), 02-Jun-2017.wsp-(2), 03-Apr-2017_-_Copy.wsp, 03-Apr-2017.wsp, 03-Apr-2017.wsp-(1), 11-Sep-2018.wsp, 15-Aug-2018.wsp, 15-May-2017.wsp, 16-Aug-2018.wsp, 16-Jun-2017.wsp-(1), 26-Sep-2018.wsp, 27-Aug-2018.wsp, N-19,20.wsp, S2-111,112.wsp",36301.462,179.71,202,1385.28,6.858,FCS3.0(202),"LSRII B (LSRII)(160), LSRII(42)"
FR-FCM-Z2EK,FR-FCM-Z2EK,2516,Solomon et al Figure 2: WT mouse (8-week-old),Development and use of a 15-color comprehensive panel designed for spectral flow cytometry that allows for the high-resolution analysis of the mouse hematopoietic stem and progenitor compartments.,high-resolution analysis of the mouse hematopoietic stem and progenitor compartments.,none,[spectral flow cytometry][hematopoietic stem cells (HSCs)],[32449586],"http://www.ncbi.nlm.nih.gov/pubmed/32449586, http://www.ncbi.nlm.nih.gov/pubmed/32449586",,,62,Damien Reynaud,Damien Reynaud,Damien Reynaud,2019-07-01 - 2020-02-01,2019-07-01,2020-02-01,2020-01-01,2020-05-01,"Cincinnati Children's Hospital Medical Center,  Division of Experimental Hematology and Cancer Biology, Cincinnati ,  (USA)","National Institutes of Health Grant: S10OD025045  
                    National Institutes of Health grant: R01HL141418","see Salomon et al, Cytometry Part A 
                    PMID: 32449586  DOI: 10.1002/cyto.a.24041",,WSP,8_week_old_mouse.wsp,10000,10000,1,915.533,915.533,FCS3.1(1),Aurora(1)
FR-FCM-Z2EL,FR-FCM-Z2EL,2517,Solomon et al Figure 3: Gfi1-reporter mice,Development and use of a 15-color comprehensive panel designed for spectral flow cytometry that allows for the high-resolution analysis of the mouse hematopoietic stem and progenitor compartments,15-color comprehensive panel designed in Gfi1-GFP reporter mice,none,[hematopoietic stem cells][spectral flow cytometry][Gfi1],[32449586],"http://www.ncbi.nlm.nih.gov/pubmed/32449586, http://www.ncbi.nlm.nih.gov/pubmed/32449586",,,63,Damien Reynaud,Damien Reynaud,Damien Reynaud,2019-07-01 - 2020-02-01,2019-07-01,2020-02-01,2020-01-01,2020-05-01,"Cincinnati Children's Hospital Medical Center,  Division of Experimental Hematology and Cancer Biology, Cincinnati ,  (USA)","National Institutes of Health grant: R01HL141418
                    National Institutes of Health Grant: S10OD025045","see Salomon et al, Cytometry Part A
                    PMID: 32449586  DOI: 10.1002/cyto.a.24041",,WSP,"8_week_old_mice_Gfi1_neg_control_.wsp, 8_weeks_Gfi1_mice_.wsp",18678.744,9339.372,2,1781.355,890.677,FCS3.1(2),Aurora(2)
FR-FCM-Z2EM,FR-FCM-Z2EM,2518,"Solomon et al Figure 4: WT mouse (2,4,8 and 52-week-old)",Development and use of a 15-color comprehensive panel designed for spectral flow cytometry that allows for the high-resolution analysis of the mouse hematopoietic stem and progenitor compartments.,"characterization of the hematopoietic stem and progenitor compartments in 2, 4, 8, and 52 week-old mice",none,[spectral flow cytometry][Stem and Progenitor cells][aging],[32449586],"http://www.ncbi.nlm.nih.gov/pubmed/32449586, http://www.ncbi.nlm.nih.gov/pubmed/32449586",,,63,Damien Reynaud,Damien Reynaud,Damien Reynaud,2019-08-01 - 2020-02-01,2019-08-01,2020-02-01,2020-01-01,2020-05-01,"Cincinnati Children's Hospital Medical Center,  Division of Experimental Hematology and Cancer Biology, Cincinnati ,  (USA)","National Institutes of Health grant: R01HL141418
                    National Institutes of Health Grant: S10OD025045.","see Salomon et al, Cytometry Part A
                    PMID: 32449586  DOI: 10.1002/cyto.a.24041",,WSP,Ages_2-4-8-52_weeks.wsp,28405.992,9468.664,3,2600.662,866.887,FCS3.1(3),Aurora(3)
FR-FCM-Z2EP,FR-FCM-Z2EP,2521,HSC soluble factor,Immunophenotyping of hematopoietic lineage cells that were culture in GelMA hydrogels with and without mesenchymal stromal cells. Cultures were exogenously stimulated with cytokines identified with an interative partial least squares regression filter method.,"A minimum cocktail of cytokines (TGFβ-1, MMP-3, TROY, and c-RP) identified by a PLSR model was shown to increase the progenitor potential of the culture system",,[hematopoietic stem cells][quiescence][Mesenchymal stem cells][artificial stem cell niche],,,"[Conditions = 1:0 c-RP(8), 1:0 Combo active(6), 1:0 Combo latent(10), 1:0 MMP-3 active(6), 1:0 MMP-3 latent(8), 1:0 None(16), 1:0 TGFβ-1(10), 1:0 TROY(8), 1:1 c-RP(4), 1:1 Combo active(6), 1:1 Combo latent(6), 1:1 MMP-3 active(6), 1:1 MMP-3 latent(4), 1:1 None(16), 1:1 TGFβ-1(6), 1:1 TROY(4), flow rate study(5)]",129,97,Aidan Gilchrist,Brendan Harley,Aidan Gilchrist,2019-09-13 - 2019-11-14,2019-09-13,2019-11-14,2020-01-01,2020-01-01,"University of Illinois at Urbana-Champaign,  Flow Cytometry Facility Roy J. Carver Biotechnology Center, Urbana, Illinois (United States)","National Institute of Diabetes and Digestive and Kidney Diseases of the National Institutes of Health under Award Numbers R01 DK099528 (B.A.C.H) and F31 DK117514 (A.E.G.), as well as by the National Institute of Biomedical Imaging and Bioengineering of the National Institutes of Health under Award Numbers R21 EB018481 (B.A.C.H.) and T32 EB019944 (A.E.G.)",Fluorescence minus one controls were used with each flow experiment. All conditions were performed with a minimum of n=3.,,,"2019.09.13.fey, 2019.09.27.fey, 2019.11.14.fey",208181.895,1254.108,166,9530.287,57.411,FCS3.1(166),LSRFortessa(166)
FR-FCM-Z2EU,FR-FCM-Z2EU,2526,IFNgR1 staining in neural cells,"                    Neonatal and adult mouse brains were analyzed for expression of the gamma-interferon receptor subunit R1.  Hippocampal and cerebellar samples were assayed for IFNgR1 expression on mature neurons (BIII-tubulin+), immature neurons (DCX+), neural stem cells (Nestin+), astrocytes (GFAP+), and macrophage/microglia (CD45+/CD11b+).  
                    
                    Panel A included the following antibodies: anti-IFNGR1-488, anti-BIII tubulin-PE, and anti-nestin-AF647.  Panel B included the following antibodies: IFNgR1– AF488 and GFAP – PE. Panel C included the following antibodies:  IFNgR1– AF488, DCX– PE, CD45 – PerCP, and CD11b– APC.  
                    
                    Fluoresence minus one (FMO) staining controls were used.
                  ",None,,[gamma-interferon],,,,,43,Lauren O'Donnell,Lauren O'Donnell,Lauren O'Donnell,2018-01-01 - 2020-01-15,2018-01-01,2020-01-15,2020-01-01,2020-08-01,"Duquesne University, Pittsburgh, PA (USA)",R15-NS087606-01A1,Unstained and Fluorescence minus one (FMO) staining controls were used.,,,,41477.741,505.826,82,2215.348,27.016,FCS3.0(82),Accuri C6(82)
FR-FCM-Z2EV,FR-FCM-Z2EV,2527,Imaging immune cells in the human eye using Indocyanine-Green dye,The aim of this study is to evaluate the feasibility of using intravenous ICG dye to image immune cells within the eyes of patients.,"ICG does not appear to alter immune cell reactivity post-administration, in-line with the long history of its safe use,
                    
                    One patient (ICG#3) had immune cells positive for ICG at 24 hours post-administration, but there is clear remit for dose escalation and/or reformulation for a different route of administration to improve the efficiency of immune cell tagging.","12 patient pilot study (patients are designed ICG1-12 in file names). Two timepoints per patient, as denoted in brackets (this is post-ICG administration).
                    
                    Two panel experiment, (L for ""lymphocyte panel"", and M for ""monocyte panel"").
                    
                    FMO controls used for gating of activation markers, ICG, and CD14.
                    
                    ICG FMO is either from healthy blood donor, or for early timepoints a pre-injection sample acquired for direct comparison of ICG signal and immune activation markers.",[flow cytometry][immunology][biomarker][retina][indocyanine green][ICG][RPE][retinal pigment epithelium][angiography][imaging][immune cell labelling][ophthalmology][uveitis][AMD][age-related macular degeneration],,,"[Timepoints = 1w(34), 24h(107), 2h(72), 4h(73)], [Sample Type = FMO(189), LD(49), PatientSample(48)], [Doses = 0.08(24), 0.2(24), 0.22(24), 0.28(24), 0.29(24), 0.3(45), 0.33(24), 0.35(24), 0.38(24), 0.42(25), 0.45(24)], [Conditions = CSR(24), nAMD(167), Uveitis(95)]",286,36,Oliver Bell,Oliver Bell,Oliver Bell,2017-01-01 - 2017-12-01,2017-01-01,2017-12-01,2020-01-01,2020-02-01,"University of Bristol,  Ophthalmology (Translational Health Sciences), Bristol, Bristol (United Kingdom)",David Telling Charitable Trust,"Fluorescence-minus-one controls to assist with gating of activation markers and ICG.
                    
                    Pilot experiments to optimise panel titrations and to validate each antibody worked correctly.",,,,153792.021,537.734,286,11331.994,39.622,FCS3.0(286),LSRFortessa X20 (LSRFortessa)(286)
FR-FCM-Z2EY,FR-FCM-Z2EY,2497,Revised panel OMIP Nina Hertoghs,"Deep phenotyping of NK cells, innate lympoid cells, (un)conventional T cells",None,,[Activation markers][T cell][NK cells][MAIT cell][Innate Lymphoid Cells (ILCs)][Vg9Vd2][Gamma],[32415811],http://www.ncbi.nlm.nih.gov/pubmed/32415811,,,26,Nina Hertoghs,Nina Hertoghs,Nina Hertoghs,2020-01-01 - 2021-01-01,2020-01-01,2021-01-01,2020-01-01,2020-06-01,"Fred Hutchinson Cancer Research Center, Seattle, WA (USA)",Not disclosed,None,,,"20200103_wsp_revised_panel_NH, 20200103rev_panel_NH_Templ.jot",15577.818,409.943,38,2868.1,75.476,"FCS2.0(26), FCS3.0(12)","(37), Bowser (LSRFortessa)(1)"
FR-FCM-Z2F2,FR-FCM-Z2F2,2530,Immune cell phenotyping of blood obtained from ME/CFS patients (in INMEST trial) using mass cytometry,"To understand the underlying immune system perturbation in ME, and investigate any potential changes correlating with treatment response, we collected blood samples at baseline before treatment, after phase 1 (4 weeks), and after phase 2 (8 weeks). To minimize technical variation samples were prepared directly at blood draw and cells frozen in whole blood stabilizer solution (Cytodelics), plasma centrifuged and frozen, and whole blood bulk mRNA stabilized and frozen. We performed immune cell compositional and phenotypic analysis using mass cytometry, plasma protein analysis by Olink assays and mRNA-sequencing to gather different perspectives of the global immune system states in the ME-patients at each time point.","In a randomized, placebo-controlled trial of intranasal mechanical stimulation (INMEST) that targets the inflammatory reflex, a 30% reduction in symptom severity was achieved in patients with moderate to severe ME. Immunological correlates of improvement was measurable in blood using systems-level monitoring, and reveal immune perturbation in ME as well as an impairment of immune cell metabolism that is also mitigated by INMEST treatment.",,[CyTOF][ME/CFS][INMEST],,,,,26,Lakshmikanth Tadepally,Petter Brodin,Lakshmikanth Tadepally,2018-06-26 - 2019-04-30,2018-06-26,2019-04-30,2020-01-01,2024-04-01,"Karolinska Institutet, Stockholm,  (Sweden)",Grants from Karolinska Institutet and the Swedish Research Council,None,,,Sample_and_Panel_info.xlsx,18784.591,220.995,85,4103.053,48.271,FCS3.1(85),(85)
FR-FCM-Z2FC,FR-FCM-Z2FC,2540,Absolute deconvolution of immune cell types,Obtain flow cytometry proportions of 29 immune cell types which constitute Peripheral Blood Mononuclear Cells (PMBC).,None,,,[30726743],"http://www.ncbi.nlm.nih.gov/pubmed/30726743, http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367568",,,33,Gianni Monaco,Gianni Monaco,Gianni Monaco,2016-08-01 - 2016-10-15,2016-08-01,2016-10-15,2020-01-01,2020-12-01,"Singapore Immunology Network, Singapore,  (Singapore)",Not disclosed,None,,WSP,"Bcells_-_BD_Influx.wsp, Bcells_-_BD_Symphony.wsp, CD4_-_BD_Symphony.wsp, CD8_-_BD_Symphony.wsp, Mono_-_BD_Symphony.wsp, README.txt",11834.816,219.163,54,774.034,14.334,FCS3.0(54),"LSRFortessa(52), BD Influx System (USB)(2)"
FR-FCM-Z2FD,FR-FCM-Z2FD,2541,"Loss of BAP1 expression is associated with an immunosuppressive microenvironment in uveal melanoma, with implications for immunotherapy development",To immune profile intraocular tumours (uveal melanomas).,"Different immune cell populations were revealed in the level of myeloid and lymphoid cells, including tumour-associated macrophages and T CD8+ regulatory lymphocytes.",,,[31960425],http://www.ncbi.nlm.nih.gov/pubmed/31960425,,,20,Carlos  de Figueiredo,Carlos  de Figueiredo,Carlos  de Figueiredo,2020-01-18 - 2020-01-19,2020-01-18,2020-01-19,2020-01-01,2020-02-01,None,Not disclosed,None,,,,117.107,4.684,25,26.003,1.04,FCS3.1(25),(25)
FR-FCM-Z2FJ,FR-FCM-Z2FJ,2547,neonate immune phenotyping,To longitudinally phenotype the developing immune system in PBMCs from preterm babies,None,"Sample nomenclature:
                    Samples labelled Adult are Adult PBMCs
                    Samples labelled B501302292 is labelled such that B denotes blood, 50 is a code and 13 denotes participant number. so B5013, B5022, B5023 etc are individual participants.
                    Samples labelled BT/CE189 are PBMC samples from term babies.
                    
                    There are 7 flow panels. Tubes labelled 4B/5B denote BFA treated samples and 4P/5P denote PMA/ionomycin stimulated samples.
                    
                    Partially through the study, one of the fluorochromes on Panel 6 (tubes labelled 4B/4P) was changed from CD8 BV510 to CD161 BV510, however the name was not changed on the panel itself so still reads CD8 BV510. The samples where CD161 BV510 was used instead are B5021,B5022, B5028, B5041,B5047,B5054,B5055,B5069,B5025, B5026,B5029, B5038,B5058,B5072,B5011,B5023,B5086,B5092, B5112, B5042, B5039,B5040, B5043,B5044,B5051,B5059,B5060,B5066,B5070,B5076,B5049.B5101, Adults BB,IZ,RB,ALG and all term samples.",,,,,,21,Shraddha Kamdar,Deena Gibbons,Shraddha Kamdar,2016-05-02 - 2019-09-30,2016-05-02,2019-09-30,2020-02-01,2020-02-01,"King's College London,  King's College London, London, London (United Kingdom)",Not disclosed,None,,,,144475.953,47.903,3016,9935.845,3.294,FCS3.1(3016),LSRFortessa X20 (LSRFortessa)(3016)
FR-FCM-Z2FK,FR-FCM-Z2FK,2548,Use of Ghost Cytometry to Differentiate Cells with Similar Gross Morphologic Characteristics,"To show that Ghost Cytometry can classify cells from a single cell line, Raji, exhibiting different image patterns in the same fluorescence color channel.",None,,[flow cytometry][Imaging Flow cytometry][machine learning][single cell analysis][optofludics],[32115874],http://www.ncbi.nlm.nih.gov/pubmed/32115874,,,23,Hiroaki Adachi,Keiji Nakagawa,Hiroaki Adachi,2019-02-25 - 2019-02-25,2019-02-25,2019-02-25,2020-02-01,2020-02-01,"ThinkCyte Inc., Bunkyo, Tokyo (Japan)",Not disclosed,None,,,,10,5,2,0.213,0.107,FCS2.0(2),JSAN(2)
FR-FCM-Z2FQ,FR-FCM-Z2FQ,2554,IQGAP2 expression In mi-124 treated macrophages,Investigated the IQGAP2 expression in miR-124 treated macrophages.,None,,,,,,,16,Tinghua Huang,Tinghua Huang,Tinghua Huang,2020-02-01 - 2020-02-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,None,Not disclosed,None,,,,168.293,14.024,12,5.802,0.484,FCS3.0(12),LSRII(12)
FR-FCM-Z2FR,FR-FCM-Z2FR,2555,Vergine2020,"We entailed to demonstrate that flow cytometry (FCM) can be adopted as a rapid monitoring tool to explore the microbial quality of water to be used in crop irrigation. More specifically, the research activity aimed at (i) evaluating the performance of a newly assembled full-scale tertiary treatment plant, and (ii) tracking microbial contamination at the main steps of the wastewater reuse scheme. In combination with physical-chemical water characterization and the monitoring of conventional fecal indicators, the total microbial load was examined by FCM at the point of use, in order to provide new insights on tertiary treatment performances and on the quality of treated wastewater reused for crop irrigation.","- Microbial quality assessments unveiled cell removal and plant operating conditions
                    - Ultrafiltration was the major process affecting the water microbial load
                    - Cell growth in membrane permeate and adaptation to storage affected water quality
                    - UV-treated wastewater was as suitable for irrigation as the local groundwater 
                    - Flow cytometry complemented conventional approaches to monitor water reuse systems",,[Tertiary treatment][Membrane ultrafiltration][Water reuse][Fecal indicators][Total Cell Counts],,,"[Conditions = SYBR Green I 10-min incubation(42), Unstained samples(2)], [Sample Type = Controls(2), Sand Filtration(10), Secondary treated Wastewater(9), Storage Tank(6), Tertiary treated Wastewater(7), Ultra Filtered water(10)], [Timepoints = 2014(17), 2015(27)]",44,77,Stefano Amalfitano,Stefano Amalfitano,Stefano Amalfitano,2014-10-22 - 2015-07-10,2014-10-22,2015-07-10,2020-02-01,2020-02-01,"CNR,  IRSA, Monterotondo, Rome (Italia)",This work was supported by the EC collaborative project DEMOWARE (www.demoware.eu) FP7-ENV-2013-WATER-INNODEMO. FP7 contract no. 619040,"All necessary control samples were run at each sampling day (i.e., fluorescent reference beads, MilliQ water plus SYBR solution, samples without SYBR Green staining)",1567|Surface Water,,Figure_S1_new.docx,2632.828,59.837,44,135.283,3.075,"FCS3.0(42), FCS2.0(2)","Apogee(42), MINIFCM(2)"
FR-FCM-Z2FV,FR-FCM-Z2FV,2559,NK cell characterization,Monitoring NK cells in healthy controls and in different pathological conditions,Panel is still in use,,[NK cells][Check point inhibitors][NK phenotype],[32198974],http://www.ncbi.nlm.nih.gov/pubmed/32198974,"[Conditions = Untreated healthy donors(6)], [Sample Type = Heparinized fresh whole blood(6)]",6,86,Genny Del Zotto,Genny Del Zotto,Genny Del Zotto,2016-04-12 - 2020-02-16,2016-04-12,2020-02-16,2020-02-01,2020-04-01,"Istituto Giannina Gaslini,  Area Aggregazione Servizi e Laboratori Diagnostici, Genova, Genova (Italia)",None,CS&T beads protocol performed twice a week,,,"PD-1_vs_NKG2C_Analysis_-_4_donors.analysis, NK_differentiation_-_Donor_X.analysis, NK_differentiation_-_Donor_Y.analysis, NK_-_Donor_Y-New_Protocol_1,_Plot_Sheet_1.pdf",958.354,159.726,6,46.352,7.725,FCS3.0(6),LSRFortessa(6)
FR-FCM-Z2G3,FR-FCM-Z2G3,2563,"S-genotyping of old apple cultivars from the Carpathian basin: methodological, breeding and evolutionary aspects",FACS measurements performed by Dr. Eva Pallinger (Semmelweis University) to assist the S-genotyping of polyploid apple cultivars.,Flow cytometry was crucial for the determination of ploidy level.,,[flow cytometry][Polyploidy][foliar application],,,,,25,Attila Hegedus,Attila Hegedus,Attila Hegedus,2020-02-15 -,2020-02-15,,2020-02-01,2020-02-01,"Semmelweis University, Budapest,  (Hungary)",Not disclosed,None,,,,308.758,61.752,5,4.132,0.826,FCS2.0(5),FACSCalibur(5)
FR-FCM-Z2G4,FR-FCM-Z2G4,2564,2020 Current Protocols in Cytometry dataset,"Training dataset from Roe, et al. Current Protocols in Cytometry phospho-flow protocol. Dataset has been analyzed by R pipeline already, can re-analyze to compare results",None,,,,,,,15,Caroline Roe,Jonathan Irish,Caroline Roe,2018-02-17 -,2018-02-17,,2020-02-01,2020-04-01,None,Not disclosed,None,,,experiment_34107_files.zip,2291.594,208.327,11,1732.74,157.522,FCS3.0(11),DVSSCIENCES-CYTOF-1.0.0(11)
FR-FCM-Z2GG,FR-FCM-Z2GG,2576,Cellular response to Vi-vaccination,"                    To investigate the cellular response in peripheral blood following parenteral vaccination with either Vi-TT or Vi-PS. 
                    
                     https://doi.org/10.3389/fimmu.2020.574057
                  ",None,,,,,,,15,Deborah Cross,Deborah Cross,Deborah Cross,2020-02-18 -,2020-02-18,,2020-02-01,2020-12-01,None,Not disclosed,None,,,,11700,100,117,2321.836,19.845,FCS3.0(117),"DVSSCIENCES-CYTOF-6.5.358(111), DVSSCIENCES-CYTOF-6.7.1014(6)"
FR-FCM-Z2GL,FR-FCM-Z2GL,2581,3 Lectins on HF and LF animals,To quantify the glycan abundance on the surface of high and low fertile buffalo spermatozoa.,The HF sperm possess higher glycan abundance,A heterogeneous population is expected in each of the samples,[Neutrophil][lectin][Male fertility],[32983120],"http://www.ncbi.nlm.nih.gov/pubmed/32983120, http://www.ncbi.nlm.nih.gov/pmc/articles/PMC7483552","[Doses = 0µg/ml(6), 25µg/ml(6), 50µg/ml(12)], [Conditions = HIGH FERTILE(12), LOW FERTILE(12)], [Sample Type = Swim-up non-capacitated spermatozoa(24)]",24,66,Vipul Batra,Vipul Batra,Vipul Batra,2019-11-10 - 2019-11-10,2019-11-10,2019-11-10,2020-02-01,2021-01-01,"National Dairy Research Institute,  Animal Biotechnology Centre, Karnal, Haryana (India)",BMGF,For each bull and lectin Unstained controls were used as the negative control of the experiment. The optimum time of incubation was standardized using immunofluorescence at five different concentrations,4|FCS collection for software testing,,Supplementary_Fig._3_new.tif,480,20,24,25.736,1.072,FCS3.1(24),BD Accuri C6 Plus(24)
FR-FCM-Z2GM,FR-FCM-Z2GM,2582,TPL Helix-By-Helix deletion series,Testing the ability of Arabidopsis TPL N-terminal deletions to repress the Auxin Response Circuit in Saccharomyces cerevisiae. Data for figure 1C.,None,,,[34075876],http://www.ncbi.nlm.nih.gov/pubmed/34075876,,,21,Alexander Leydon,Jennifer Nemhauser,Alexander Leydon,2018-04-19 - 2018-04-19,2018-04-19,2018-04-19,2020-02-01,2021-06-01,"University of Washington,  University of Washington, Seattle, Seattle (United States)",Not disclosed,None,,,"20180424_annotation.csv, 20180426_cytometry_data_analysis.R",3900,10,390,209.423,0.537,FCS3.0(390),BD Accuri C6(390)
FR-FCM-Z2GN,FR-FCM-Z2GN,2583,B Cell Development in the Bone Marrow,"Combine the depth of single-cell mass cytometry with Wanderlust, a novel trajectory detection algorithm, to construct the developmental continuum of B cell: from hematopoietic stem cells through to naive B cells.",None,,[B cells][B cell lineage][mass cytometry][CyTOF][method development],[24766814],http://www.ncbi.nlm.nih.gov/pubmed/24766814,,,20,El-ad David Amir,El-ad David Amir,El-ad David Amir,2014-04-24 -,2014-04-24,,2020-02-01,2020-02-01,None,"K.L.D. is supported by a St. Baldrick’s Foundation Scholar Award, Alex’s Lemonade Stand Young Investigator Award and the Lucile Packard Foundation for Children’s Health, Stanford NIH-NCATS-CTSA UL1 TR001085 and Child Health Research Institute of Stanford University. S.C.B. is supported by the Damon Runyon Cancer Research Foundation Fellowship (DRG-2017-09) and the NIH K99GM104148-01. E.D.A. is a Howard Hughes Medical Institute International Student Research Fellow. T.J.C. is supported by National Defense Science & Engineering Graduate Fellowship Program, Stanford University Graduate Fellowship, and the Google Anita Borg Memorial Scholarship. This work was supported by 0158 G KB065; 1R01CA130826; 5U54CA143907NIH; CIRM: DR1-01477; HEALTH.2010.1.2-1; HHSF223201210194C - FDA: BAA-12-00118; HHSN272200700038C; N01-HV-00242; NIH 41000411217; NIH 5-24927; P01 CA034233-22A1; PN2EY018228; RB2-01592; U19 AI057229; U54CA149145; W81XWH-12-1-0591 OCRP-TIA NWC; NIH S10 SIG S10RR027582-01, William Lawrence and Blanche Hughes Foundation, Entertainment Industry Foundation, Northrup-Grumman Corp, Alliance for Lupus Research, Lymphoma Research Foundation, Bill and Melinda Gates Foundation, NIH 152175.5041015.0412 and the Rachford and Carlota A. Harris Endowment to G.P.N. This work was supported by NSF MCB-1149728, NIH DP2-OD002414-01, NIH U54CA121852-01A1 to D.P. D.P. holds a Packard Fellowship for Science and Engineering.",None,,,,147.238,11.326,13,26.975,2.075,FCS3.0(13),(13)
FR-FCM-Z2GQ,FR-FCM-Z2GQ,2586,TPL Dimerization Mutants 2,Testing effect of dimerization mutations in the TPL LisH domain on repression in yeast ARC. Data for figure 5F.,None,,,[34075876],http://www.ncbi.nlm.nih.gov/pubmed/34075876,,,21,Alexander Leydon,Jennifer Nemhauser,Alexander Leydon,2018-08-29 - 2018-08-29,2018-08-29,2018-08-29,2020-02-01,2021-06-01,"University of Washington,  University of Washington, Seattle, Seattle (United States)",Not disclosed,None,,,"annotation.txt, 20180829_annotation.csv, 20180621_cytometry_data_analysis.R",5759.497,9.999,576,309.278,0.537,FCS3.0(576),BD Accuri C6(576)
FR-FCM-Z2GR,FR-FCM-Z2GR,2587,TPL Helix-By-Helix deletion series 2,Deletion series of TPL repressor in ARC to determine repressor domains. Data for Figure 1D.,None,,,[34075876],http://www.ncbi.nlm.nih.gov/pubmed/34075876,,,21,Alexander Leydon,Jennifer Nemhauser,Alexander Leydon,2018-11-20 - 2018-11-20,2018-11-20,2018-11-20,2020-02-01,2021-06-01,"University of Washington,  University of Washington, Seattle, Seattle (United States)",Not disclosed,None,,,"annotation.txt, 20181120_annotation.csv, 20181102_cytometry_data_analysis.R",3840,10,384,206.201,0.537,FCS3.0(384),BD Accuri C6(384)
FR-FCM-Z2GT,FR-FCM-Z2GT,2589,TPL Helix-By-Helix deletion series 3,Testing the ability of Arabidopsis TPL N-terminal deletions to repress the Auxin Response Circuit in Saccharomyces cerevisiae. Data for figure 1E.,None,,,[34075876],http://www.ncbi.nlm.nih.gov/pubmed/34075876,,,21,Alexander Leydon,Jennifer Nemhauser,Alexander Leydon,2018-11-29 - 2018-11-29,2018-11-29,2018-11-29,2020-02-01,2021-06-01,"University of Washington,  University of Washington, Seattle, Seattle (United States)",Not disclosed,None,,,"annotation.txt, 20181129_cytometry_data_analysis.R",4779.669,9.958,480,256.669,0.535,FCS3.0(480),BD Accuri C6(480)
FR-FCM-Z2GW,FR-FCM-Z2GW,2578,SOM3B Analysis cancer cell line,Assess single-cell biosynthesis properties of selected cancer cell lines.,None,"Treat HeLa and Jurkat cell lines with SOM3B reagents. Each cell line was labeled with 5 uM IdU, 2 mM BRU, and 1 ug/mL puromycin, for 30 minutes, followed immediately with cell collection and fixation. Biosynthesis activity was quantified by measuring incorporation of IdU (DNA synthesis) by directly measuring elemental Iodine (I-127) by mass cytometry. Antibodies detecting incorporated BRU and puromycin, each conjugated to a specific purified isotope was used to quantify RNA and protein synthesis, respectively. Detailed methods describing SOM3B labeling can be found in the linked paper.",,[30862852],"http://www.ncbi.nlm.nih.gov/pubmed/30862852, http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6414513",,,35,Sam Kimmey,Sam Kimmey,Sam Kimmey,2018-10-09 -,2018-10-09,,2020-02-01,2020-02-01,None,Not disclosed,None,,,,251.515,125.757,2,28.09,14.045,FCS3.1(2),(2)
FR-FCM-Z2GX,FR-FCM-Z2GX,2584,TPL Dimerization Mutants 1,"Testing effect of designer mutations in the TPL LisH dimerization domain on ARC repression by time course flow cytometry. Data for Figure 5D,E.",None,,,[34075876],http://www.ncbi.nlm.nih.gov/pubmed/34075876,,,21,Alexander Leydon,Jennifer Nemhauser,Alexander Leydon,2018-06-21 - 2018-06-21,2018-06-21,2018-06-21,2020-02-01,2021-06-01,"University of Washington,  University of Washington, Seattle, Seattle (United States)",Not disclosed,None,,,"20180621_annotation.csv, 20180621_cytometry_data_analysis.R",4381.065,9.165,478,235.373,0.492,FCS3.0(478),BD Accuri C6(478)
